Name,Age,Nationality,Overall,Club,Value,Preferred Positions
D. Cools,21,Belgium,71,Club Brugge KV,€3M,RM
M. Dąbrowski,30,Poland,71,Legia Warszawa,€1.8M,CB
M. Pintilii,32,Romania,71,,€0,CM
G. Sandoval,21,Mexico,71,Santos Laguna,€3.4M,RM
M. Kamiński,25,Poland,71,VfB Stuttgart,€2.5M,CB
B. Diawara,29,Senegal,71,Adelaide United,€2.4M,ST
C. Salom,30,Palestine,71,Puebla,€2.3M,ST
Jorge Sáenz,20,Spain,71,CD Tenerife,€4.7M,RB
J. Kiełb,29,Poland,71,Korona Kielce,€2.3M,ST
D. McGoldrick,29,Republic of Ireland,71,Ipswich Town,€2.4M,ST
Y. Mokhtar,25,Morocco,71,PEC Zwolle,€2.8M,LM
N. Leali,24,Italy,71,SV Zulte-Waregem,€2.2M,GK
L. Aveldaño,31,Argentina,71,CD Tenerife,€1.6M,CB
J. Aldunsate,25,Chile,71,Universidad Católica,€2.1M,CDM
A. Soto,23,Argentina,71,Racing Club de Avellaneda,€2.8M,LB
M. Basha,30,Albania,71,Bari,€2.2M,CDM
D. Cvetinović,28,Serbia,71,RC Lens,€2.2M,CB
E. Başsan,25,Turkey,71,Galatasaray SK,€3M,CAM
V. Fiorillo,27,Italy,71,Pescara,€1.6M,GK
M. Henriksen,24,Norway,71,Hull City,€3M,CM
Germán,30,Spain,71,Granada CF,€1.8M,CB
M. Kone,27,Ivory Coast,71,Cesena,€2.7M,CAM
F. Holland,26,Germany,71,SV Darmstadt 98,€2.3M,LB
Paulolettinho,33,Brazil,71,Sociedade Esportiva Palmeiras,€1.4M,RM
S. Malezas,32,Greece,71,PAOK Thessaloniki,€1.4M,CB
L. Fariña,26,Argentina,71,CD Aves,€2.9M,LM
J. Cornejo,26,Chile,71,Club León,€2.3M,LB
C. Luna,35,Argentina,71,Club Atlético Tigre,€1.1M,ST
E. Arévalo Ríos,35,Uruguay,71,Racing Club de Avellaneda,€550K,CM
B. Zuculini,24,Argentina,71,Hellas Verona,€3.2M,CDM
E. Horvath,22,United States,71,Club Brugge KV,€2.8M,GK
M. Stoppelkamp,30,Germany,71,MSV Duisburg,€2.2M,RM
S. Çikalleshi,26,Albania,71,Osmanlıspor,€2.8M,ST
A. Vaņins,37,Latvia,71,FC Zürich,€160K,GK
A. Papadopoulos,32,Greece,71,Brisbane Roar,€1.4M,CB
J. Arandero,29,Chile,71,Everton de Viña del Mar,€1.8M,CDM
T. Taiwo,32,Nigeria,71,AFC Eskilstuna,€1.3M,LB
N. De Pauw,27,Belgium,71,SV Zulte-Waregem,€2.5M,CF
Gaztañaga,26,Spain,71,Gimnàstic de Tarragona,€2.6M,CM
R. Thomas,22,New Zealand,71,PEC Zwolle,€3.3M,LM
Alex das Freitas,29,Brazil,71,Sociedade Esportiva Palmeiras,€1.8M,CM
D. Dessena,30,Italy,71,Cagliari,€2.2M,RB
João Diogo,29,Portugal,71,CF Os Belenenses,€1.8M,RM
M. Bjärsmyr,31,Sweden,71,Medicana Sivasspor,€1.6M,CB
J. Poulsen,33,Denmark,71,FC Midtjylland,€1.4M,CM
A. Salvamanos,25,Chile,71,Santiago Wanderers,€2.1M,LB
V. Fayzulin,31,Russia,71,Zenit St. Petersburg,€1.6M,CM
P. Rodríguez,27,Argentina,71,AEK Athens,€2.5M,RM
J. Mauri,21,Italy,71,Milan,€3.3M,CDM
N. Bärkroth,25,Sweden,71,Lech Poznań,€2.8M,RM
J. Madueña,27,Mexico,71,Club Atlas,€2.2M,RB
I. Seck,27,Senegal,71,Waasland-Beveren,€2M,CDM
L. Kelly,21,Republic of Ireland,71,Reading,€4M,CDM
S. Bertoli,39,Argentina,71,Club Atlético Patronato,€160K,GK
E. Juárez,29,Mexico,71,Monterrey,€1.8M,RM
R. Aït Atmane,24,Algeria,71,Real Sporting de Gijón,€2.8M,CM
M. Barthelmé,28,France,71,La Berrichonne de Châteauroux,€2.4M,RM
C. Schulz,34,Germany,71,SK Sturm Graz,€725K,CB
Ji Dong Won,26,Korea Republic,71,FC Augsburg,€3M,LM
D. Rotariu,21,Romania,71,Royal Excel Mouscron,€3.5M,RM
A. Hoffmann,24,Germany,71,Fortuna Düsseldorf,€2.6M,CDM
G. Valsvik,24,Norway,71,Eintracht Braunschweig,€2.8M,CB
C. M'Bengue,28,Senegal,71,AS Saint-Étienne,€1.9M,LB
A. Al Khaibari,31,Saudi Arabia,71,Al Hilal,€1.6M,CM
H. Palacios,24,Colombia,71,Club Brugge KV,€2.7M,RWB
William,22,Brazil,71,VfL Wolfsburg,€3M,RB
Oier,27,Spain,71,Levante UD,€1.8M,GK
A. Haghighi,29,Iran,71,AFC Eskilstuna,€1.6M,GK
B. Nieuwkoop,21,Netherlands,71,Feyenoord,€3M,CM
C. Gönen,29,Turkey,71,Málaga CF,€1.8M,GK
Kim Min Woo,27,Korea Republic,71,Suwon Samsung Bluewings,€2.5M,CM
E. Aguirre,20,Mexico,71,Pachuca,€3.6M,CM
Edu Machado,27,Portugal,71,Boavista FC,€2M,RB
Álvaro,22,Spain,71,Getafe CF,€3.3M,CAM
M. Knaller,30,Austria,71,FC Ingolstadt 04,€1.5M,GK
H. Dean,25,England,71,Birmingham City,€2.6M,CB
Baena,28,Spain,71,Granada CF,€2.2M,CM
E. Cocalić,29,Bosnia Herzegovina,71,KV Mechelen,€1.8M,CB
E. Insúa,26,Argentina,71,Panathinaikos FC,€2.4M,LB
C. Bryson,30,Scotland,71,Cardiff City,€2.2M,CM
C. Vendoval,29,Chile,71,Universidad Católica,€2.3M,CAM
Lee Dong Gook,38,Korea Republic,71,Jeonbuk Hyundai Motors,€850K,ST
C. Pellerano,35,Argentina,71,Tiburones Rojos de Veracruz,€1M,CDM
S. Logan,29,England,71,Aberdeen,€1.8M,RB
Z. Korcsmár,28,Hungary,71,FC Midtjylland,€2.2M,CB
D. Hernández,24,Colombia,71,Águilas Doradas,€3.1M,CF
José Arnáiz,22,Spain,71,FC Barcelona B,€3.6M,RM
E. Villa,35,Argentina,71,Querétaro,€1.1M,ST
D. Ndongala,26,DR Congo,71,Standard de Liège,€2.8M,RM
T. Okriashvili,25,Georgia,71,FC Krasnodar,€3.1M,LM
Nathan,21,Brazil,71,Amiens SC Football,€3.5M,CAM
M. Jonckheere,27,Belgium,71,KV Oostende,€2.7M,LM
J. Martins Pereira,31,France,71,En Avant de Guingamp,€1.6M,RB
J. van den Berg,31,Netherlands,71,Reading,€1.6M,CB
M. Barragán,25,Mexico,71,Necaxa,€3M,LW
C. Fierro,22,Mexico,71,Guadalajara,€3.2M,RM
Mika,26,Portugal,71,Sunderland,€2.1M,GK
S. Ribas,29,Uruguay,71,Club Atlético Patronato,€2.4M,ST
A. Sapeta,28,Russia,71,Dinamo Moscow,€2.2M,CM
J. Morrow,29,United States,71,Toronto FC,€1.8M,CB
João Teixeira,23,Portugal,71,Vitória Setúbal,€3.2M,CM
S. Nakamura,39,Japan,71,Júbilo Iwata,€650K,CAM
Cláudio Ramos,25,Portugal,71,Tondela,€2.3M,GK
J. Cuffaut,29,France,71,AS Nancy Lorraine,€1.8M,RB
A. Tighadouini,24,Morocco,71,FC Twente,€3.2M,LM
M. González,36,Argentina,71,Club Atlético Huracán,€800K,RM
V. Kjartansson,27,Iceland,71,,€0,ST
R. Coetzee,20,South Africa,71,,€0,CB
A. Abrashi,27,Albania,71,SC Freiburg,€2M,CDM
P. Arriola,22,United States,71,D.C. United,€3.2M,RW
F. Campbell,29,England,71,Hull City,€2.4M,ST
Suso Santana,32,Spain,71,CD Tenerife,€1.8M,RM
M. Formica,29,Argentina,71,U.N.A.M.,€2.3M,CAM
Djaniny,26,Cape Verde,71,Santos Laguna,€2.8M,RW
F. Zuqui,25,Argentina,71,Estudiantes de La Plata,€3M,CM
J. Obita,23,England,71,Reading,€2.8M,LWB
D. Asprilla,28,Colombia,71,Al Fayha,€2.4M,CAM
J. Ikoné,19,France,71,Montpellier Hérault SC,€4.1M,LW
F. Lértora,26,Argentina,71,Belgrano de Córdoba,€2.4M,CDM
Nsue,27,Equatorial Guinea,71,Birmingham City,€2M,RWB
A. Rispoli,28,Italy,71,Palermo,€2.4M,RB
I. Pillud,31,Argentina,71,Racing Club de Avellaneda,€1.6M,RB
P. Sané,25,Senegal,71,AJ Auxerre,€3.2M,ST
Pita,32,Spain,71,CD Lugo,€1.4M,CDM
J. Rosenthal,31,Germany,71,SV Darmstadt 98,€2.1M,CAM
G. Koutroumpis,26,Greece,71,Panathinaikos FC,€2.4M,CDM
Adeilson Gesser,25,Brazil,71,Botafogo de Futebol e Regatas,€2.6M,CAM
C. Peña,27,Mexico,71,Rangers,€2.7M,CAM
Y. Al Mosailem,33,Saudi Arabia,71,Al Ahli,€1.2M,GK
J. Williams,23,Wales,71,Sunderland,€3.2M,CM
A. Losilla,31,France,71,VfL Bochum,€1.6M,CDM
N. Zimling,32,Denmark,71,SønderjyskE,€1.4M,CAM
M. Abdul Shafy,32,Egypt,71,Al Ahli,€1.3M,LB
M. Eggestein,20,Germany,71,SV Werder Bremen,€3.8M,CDM
K. Sankaré,32,Senegal,71,Cádiz C.F.,€1.4M,CB
R. Mphahlele,27,South Africa,71,Kaizer Chiefs,€2.2M,RWB
Miguel Silva,22,Portugal,71,Vitória Guimarães,€2.3M,GK
K. Lee,29,England,71,Sheffield Wednesday,€2.3M,CM
B. Koita,26,France,71,Kasimpaşa SK,€2.8M,LM
Marcos Pizzelli,32,Armenia,71,Al Shabab,€1.8M,CAM
A. Bakasetas,24,Greece,71,AEK Athens,€3.1M,ST
Pozo,21,Spain,71,UD Almería,€3.4M,RM
Derley,29,Brazil,71,CD Aves,€2.4M,ST
Heltinho Melo,33,Brazil,71,Clube Atlético Mineiro,€1.4M,RB
Nascimentardo,29,Brazil,71,Clube Atlético Paranaense,€2.3M,CF
P. Barrera,30,Mexico,71,U.N.A.M.,€2.2M,RM
Marc Mateu,27,Spain,71,CD Numancia,€2.5M,RM
C. Coosemans,24,Belgium,71,KV Mechelen,€2.2M,GK
C. Cambon,30,France,71,US Orléans Loiret Football,€1.8M,CB
Rogerinho,30,Brazil,71,Al Faisaly,€2.2M,CAM
K. Kodro,23,Bosnia Herzegovina,71,1. FSV Mainz 05,€3.4M,LM
D. Halfar,29,Germany,71,1. FC Kaiserslautern,€2.3M,CM
H. Goitom,32,Eritrea,71,AIK Solna,€1.9M,ST
P. Schiattarella,30,Italy,71,Ferrara (SPAL),€2.2M,RB
F. Caputo,29,Italy,71,Empoli,€2.4M,ST
S. Kurtuluş,29,Turkey,71,Bursaspor,€1.8M,RB
R. Krunić,23,Bosnia Herzegovina,71,Empoli,€3.4M,CM
N. Bahoui,26,Sweden,71,Grasshopper Club Zürich,€2.5M,RM
C. Diandy,26,Senegal,71,Sporting Charleroi,€2.4M,CM
M. Chanot,27,Luxembourg,71,New York City Football Club,€2M,CB
A. Parot,27,Chile,71,Rosario Central,€2M,CB
Álvaro García,24,Spain,71,Cádiz C.F.,€3.2M,CAM
A. Traoré,22,Mali,71,AS Monaco,€3.4M,CAM
S. Viera,34,Uruguay,71,CPD Junior Barranquilla,€950K,GK
M. Madl,29,Austria,71,Fulham,€1.8M,CB
A. Warda,23,Egypt,71,,€0,CAM
M. Spiranovic,29,Australia,71,,€0,CDM
M. Albornoz,26,Chile,71,Hannover 96,€2.3M,LB
H. Yamada,28,Japan,71,Júbilo Iwata,€2.4M,CDM
C. Mandanne,32,France,71,La Berrichonne de Châteauroux,€1.9M,CF
L. Boyce,26,Northern Ireland,71,Burton Albion,€2.9M,ST
S. Yago,24,Burkina Faso,71,Toulouse FC,€2.6M,CB
Hugo Rubiães,33,Brazil,71,Cruzeiro,€950K,RB
Yannick Djaló,31,Portugal,71,Vitória Setúbal,€2.1M,CAM
V. Nsimba,23,DR Congo,71,Bourg en Bresse Péronnas 01,€2.8M,LB
Emerson Avintes,25,Brazil,71,Cruzeiro,€2.6M,RM
R. Alioui,25,Morocco,71,Nîmes Olympique,€3.1M,ST
J. Dahlin,30,Sweden,71,Malmö FF,€1.5M,GK
Martin Cordeia,33,Brazil,71,Cruzeiro,€1.4M,CM
V. Anita,28,Netherlands,71,Leeds United,€1.9M,LB
D. Larsson,30,Sweden,71,Akhisar Belediyespor,€2.2M,RM
O. Alanís,28,Mexico,71,Guadalajara,€1.9M,CB
Guarrotxena,24,Spain,71,C.D. Leonesa S.A.D.,€3.4M,RM
Santos,31,Brazil,71,Suwon Samsung Bluewings,€2.1M,CAM
E. Asante,28,Ghana,71,FC Nordsjælland,€2.4M,LW
H. Kage,27,DR Congo,71,KV Kortrijk,€2.5M,CAM
J. Egan,24,Republic of Ireland,71,Brentford,€2.7M,CB
D. Bassi,32,Italy,71,La Spezia,€1.4M,GK
S. Bamba,32,Ivory Coast,71,Cardiff City,€1.4M,CB
C. Bolaños,33,Costa Rica,71,Vancouver Whitecaps FC,€1.4M,RM
M. Costanzo,29,Switzerland,71,FC Thun,€2.3M,CF
S. Diallo,26,Guinea,71,Evkur Yeni Malatyaspor,€2.9M,ST
B. Röcker,27,Germany,71,Brøndby IF,€2.2M,CB
A. Jahović,30,FYR Macedonia,71,Göztepe,€2.3M,ST
F. Fernández,25,Paraguay,71,CD America de Cali,€3.1M,ST
Nílton,30,Brazil,71,Vissel Kobe,€1.8M,CB
J. Palacios,27,Colombia,71,CD Los Millionarios Bogota,€2.2M,RB
C. Henao,28,Colombia,71,Independiente Santa Fe,€2.2M,CB
F. Coltorti,36,Switzerland,71,RB Leipzig,€325K,GK
C. Lepoint,32,Belgium,71,KV Kortrijk,€1.8M,CAM
R. Gómez,24,Argentina,71,Deportivo Toluca,€3M,RM
M. Caligiuri,33,Germany,71,SpVgg Greuther Fürth,€950K,RB
J. Hoogma,19,Netherlands,71,TSG 1899 Hoffenheim,€4M,CB
Marlion Rolim,25,Brazil,71,Fluminense Football Club,€2.6M,CAM
M. Correia,28,Portugal,71,1. FC Kaiserslautern,€1.9M,CB
K. Akpoguma,22,Germany,71,TSG 1899 Hoffenheim,€3.3M,RB
E. Torres,24,Mexico,71,Houston Dynamo,€3.1M,ST
R. Quioto,25,Honduras,71,Houston Dynamo,€2.8M,ST
S. Tkachev,28,Russia,71,Arsenal Tula,€2.4M,CM
P. Hosiner,28,Austria,71,1. FC Union Berlin,€2.4M,ST
Y. Karamoh,18,France,71,Inter,€4.9M,LW
S. Chernik,29,Belarus,71,AS Nancy Lorraine,€1.6M,GK
L. Rosenior,32,England,71,Brighton & Hove Albion,€1.3M,RM
M. Miloš,24,Croatia,71,Lechia Gdańsk,€2.6M,LB
J. Lucumi,22,Colombia,71,Atletico Nacional Medellin,€3.8M,CAM
T. Matton,31,Belgium,71,KAA Gent,€2.1M,CF
Alan Baró,32,Spain,71,Central Coast Mariners,€1.4M,CB
S. Dimitrievski,23,FYR Macedonia,71,Gimnàstic de Tarragona,€2.8M,GK
A. Donis,20,Greece,71,VfB Stuttgart,€4.1M,RW
Eltildo Bessa,33,Brazil,71,Fluminense Football Club,€1.5M,LW
S. Polter,26,Germany,71,1. FC Union Berlin,€3M,ST
F. Diagne,27,Senegal,71,FC Metz,€2M,CB
M. Poundjé,24,France,71,Girondins de Bordeaux,€2.5M,LB
W. Ayoví,37,Ecuador,71,,€0,LM
V. Procházka,33,Czech Republic,71,Osmanlıspor,€950K,CB
O. Barreto,24,Colombia,71,Rio Ave FC,€3.2M,LW
J. Boye,30,Ghana,71,Medicana Sivasspor,€1.8M,CB
A. Elek,28,Hungary,71,,€0,CDM
T. Kister,30,Germany,71,SV Sandhausen,€1.8M,CB
N. Omladič,27,Slovenia,71,SpVgg Greuther Fürth,€2.5M,CM
Nano,32,Spain,71,UD Almería,€1.3M,LB
F. Klos,29,Germany,71,DSC Arminia Bielefeld,€2.4M,ST
J. Tavernier,25,England,71,Rangers,€2.4M,RB
K. McLean,25,Scotland,71,Aberdeen,€2.9M,CDM
C. Galano,26,Italy,71,Bari,€2.8M,CF
W. Dutoit,28,France,71,KV Oostende,€2M,GK
D. Bottinelli,30,Argentina,71,CD America de Cali,€2.2M,CDM
A. Pearce,28,Republic of Ireland,71,Derby County,€1.9M,CB
L. Unnerstall,26,Germany,71,VVV-Venlo,€2M,GK
M. Franke,24,Germany,71,Norwich City,€2.7M,CB
Aleñà,19,Spain,71,FC Barcelona B,€5M,RM
F. Bustos,21,Argentina,71,Independiente,€3.7M,LB
M. Mitrović,23,Croatia,71,Beşiktaş JK,€2.8M,CB
S. Morrison,26,England,71,Cardiff City,€2.5M,CB
A. Kashi,28,Algeria,71,Charlton Athletic,€1.9M,CM
A. Luthe,30,Germany,71,FC Augsburg,€1.5M,GK
B. Wright,24,Australia,71,Bristol City,€2.8M,CB
G. Troupée,19,Netherlands,71,FC Utrecht,€3.2M,RB
G. Aburjania,22,Georgia,71,Sevilla Atlético,€3.6M,CAM
T. Pukki,27,Finland,71,Brøndby IF,€2.8M,ST
O. Jiménez,28,Mexico,71,Club América,€1.7M,GK
J. Jones,25,Trinidad & Tobago,71,Seattle Sounders FC,€2.4M,LM
M. García,20,Argentina,71,CA Osasuna,€4.2M,RM
V. Kavlak,28,Austria,71,Beşiktaş JK,€1.9M,CM
T. Elphick,29,England,71,Aston Villa,€1.8M,CB
A. Sukhov,31,Russia,71,FC Ufa,€1.6M,RM
L. Mora,29,Italy,71,Ferrara (SPAL),€2.3M,LM
L. Mabiala,29,DR Congo,71,Portland Timbers,€1.8M,CB
N. Kranjčar,32,Croatia,71,Rangers,€1.8M,CAM
Túlio Sandoiro,33,Brazil,71,Botafogo de Futebol e Regatas,€1.5M,ST
M. Domizzi,37,Italy,71,F.B.C. Unione Venezia,€325K,CB
L. Wallace,29,Scotland,71,Rangers,€1.8M,LB
F. Balmont,37,France,71,Dijon FCO,€750K,CM
G. Ghazaryan,29,Armenia,71,CS Marítimo,€2.3M,CAM
A. Baby,28,Senegal,71,Sporting Charleroi,€2.4M,RM
Pereirinha,29,Portugal,71,CF Os Belenenses,€1.8M,RB
M. Kieftenbeld,27,Netherlands,71,Birmingham City,€2.2M,CM
C. Embalo,22,Guinea Bissau,71,Palermo,€3.5M,CAM
A. Issoko,25,DR Congo,71,Vitória Setúbal,€2.4M,RM
R. Amalfitano,27,France,71,Dijon FCO,€2.5M,LM
I. Kiese Thelin,25,Sweden,71,Waasland-Beveren,€3M,ST
H. Al Moqahwi,29,Saudi Arabia,71,Al Ahli,€2.3M,LM
K. Palmer,20,England,71,Huddersfield Town,€3.8M,CAM
A. Harit,20,Morocco,71,FC Schalke 04,€4.2M,LW
M. Günok,28,Turkey,71,İstanbul Başakşehir FK,€1.9M,GK
S. Malone,26,England,71,Huddersfield Town,€2.3M,LB
A. Camara,27,Guinea,71,En Avant de Guingamp,€2.5M,CM
T. Asano,22,Japan,71,VfB Stuttgart,€3.5M,CF
G. Berardi,28,Switzerland,71,Leeds United,€1.9M,RB
K. Günter,22,Turkey,71,Galatasaray SK,€2.8M,CB
S. Medojević,26,Serbia,71,Eintracht Frankfurt,€2.5M,CDM
M. Grujić,21,Serbia,71,Liverpool,€5M,CAM
N. Albiach,24,Spain,71,Sparta Praha,€3.3M,CF
D. N'Doye,32,Senegal,71,Trabzonspor,€1.9M,LM
Carlinhos,23,Brazil,71,Standard de Liège,€3.5M,CM
P. Díaz,22,Chile,71,San Lorenzo de Almagro,€3.1M,CB
A. Zambo Anguissa,21,Cameroon,71,Olympique de Marseille,€2.9M,CM
M. Williamson,33,England,71,Oxford United,€950K,CB
E. Elgueta,33,Chile,71,CD Huachipato,€950K,RB
S. Hanca,25,Romania,71,,€0,CM
W. Troost-Ekong,23,Nigeria,71,Bursaspor,€2.7M,CB
S. Klaiber,22,Netherlands,71,FC Utrecht,€2.6M,CM
J. Boga,20,Ivory Coast,71,Birmingham City,€3.8M,LM
D. Bent,33,England,71,Derby County,€1.5M,ST
D. Fagundez,22,Uruguay,71,New England Revolution,€3.2M,LW
R. Peradezes,33,Chile,71,CD Universidad de Concepción,€1.2M,GK
A. Keogh,31,Republic of Ireland,71,Perth Glory,€2.1M,ST
Pedro Moreira,28,Portugal,71,Rio Ave FC,€2.4M,CDM
R. Vitiello,34,Italy,71,Ternana,€725K,RB
D. Foulquier,24,France,71,RC Strasbourg,€2.6M,RWB
Y. Okubo,35,Japan,71,F.C. Tokyo,€1.1M,CAM
A. Fuentoza,33,Chile,71,Everton de Viña del Mar,€900K,LB
H. Dalsgaard,27,Denmark,71,Brentford,€2M,RB
F. Bordagaray,30,Argentina,71,Defensa y Justicia,€2.3M,RM
T. Dingomé,26,France,71,ES Troyes AC,€2.4M,CDM
W. Cestedo,29,Chile,71,CD Palestino,€1.6M,GK
Y. Ngbakoto,25,DR Congo,71,Queens Park Rangers,€2.9M,CAM
M. Riemann,28,Germany,71,VfL Bochum,€1.9M,GK
Jung Jo Gook,33,Korea Republic,71,Gangwon FC,€1.5M,ST
N. Boilesen,25,Denmark,71,FC København,€2.5M,CB
A. Oyongo,26,Cameroon,71,Montreal Impact,€2.4M,LB
H. Salazores,29,Chile,71,Santiago Wanderers,€1.8M,LB
Marc Valiente,30,Spain,71,KAS Eupen,€1.8M,CB
G. Varelinto,25,Chile,71,CD O'Higgins,€2M,RB
Borja Valle,24,Spain,71,RC Deportivo de La Coruña,€3M,ST
K. Ayhan,22,Turkey,71,Fortuna Düsseldorf,€3M,CM
Christian Rivera,19,Spain,71,SD Eibar,€4.6M,CM
André Milazisco,33,Brazil,71,Associação Atlética Ponte Preta,€1.2M,GK
M. Colin,25,France,71,Birmingham City,€2.5M,RWB
Martos,33,Spain,71,Sporting Charleroi,€950K,CB
A. Niz,29,Argentina,71,Club Atlético Tigre,€1.8M,RB
A. Avlonitis,27,Greece,71,Panathinaikos FC,€2M,CB
Marc Navarro,21,Spain,71,RCD Espanyol,€3.2M,RB
F. Jozefzoon,26,Netherlands,71,Brentford,€2.8M,ST
S. Moreira,22,France,71,FC Lorient,€2.8M,RB
D. Mosquera,24,Colombia,71,Independiente Santa Fe,€2.6M,LB
S. Rieks,30,Denmark,71,IFK Göteborg,€2.2M,CF
A. Akaichi,28,Tunisia,71,Al Ittihad,€2.4M,ST
S. Bossut,31,Belgium,71,SV Zulte-Waregem,€1.4M,GK
J. Irvine,24,Australia,71,Hull City,€3.1M,CM
I. Mystakidis,22,Greece,71,PAOK Thessaloniki,€3.4M,LM
A. Bouchalakis,24,Greece,71,Nottingham Forest,€3M,CDM
Leonardo,25,Brazil,71,Al Ahli,€3M,CAM
C. Michelin,20,France,71,Toulouse FC,€3.7M,RM
B. Kısa,34,Turkey,71,Bursaspor,€1.2M,CAM
G. Courtet,28,France,71,FC Lorient,€2.4M,ST
V. Cabrera,24,Argentina,71,Montreal Impact,€2.5M,CB
J. Silva,22,Mexico,71,Cruz Azul,€2.8M,RB
S. Grytebust,27,Norway,71,Odense Boldklub,€1.6M,GK
S. Celozzi,28,Germany,71,VfL Bochum,€1.9M,CM
A. Wisdom,24,England,71,Derby County,€2.6M,CB
Y. Asad,22,Argentina,71,Atlanta United FC,€3.5M,RM
Melero,23,Spain,71,SD Huesca,€2.8M,CAM
W. Sobota,30,Poland,71,FC St. Pauli,€2.2M,RM
I. Latovlevici,31,Romania,71,Galatasaray SK,€1.6M,LM
Y. Makarenko,26,Ukraine,71,KV Kortrijk,€2.4M,LB
M. Dabo,30,France,71,SM Caen,€1.7M,RB
A. Reach,24,England,71,Sheffield Wednesday,€3.2M,LW
W. Benítez,24,Argentina,71,OGC Nice,€2.4M,GK
João Talocha,27,Portugal,71,Boavista FC,€2M,LB
F. Navarro,28,Mexico,71,Club León,€1.9M,RB
Abraham,31,Spain,71,Gimnàstic de Tarragona,€1.6M,LM
C. Gunter,27,Wales,71,Reading,€2M,RWB
M. Abeid,24,Algeria,71,Dijon FCO,€3M,CDM
C. Alzáte,29,Colombia,71,Deportes Tolima,€2.3M,LM
C. Villagra,31,Argentina,71,Atlético Tucumán,€1.6M,RB
Kwon Soon Hyung,31,Korea Republic,71,Jeju United FC,€2M,CDM
Aday Benítez,29,Spain,71,Girona CF,€1.8M,RWB
L. Wílchez,33,Argentina,71,Arsenal de Sarandí,€1.4M,LM
N. Camacho,29,Paraguay,71,,€0,RM
Rhayner,26,Brazil,71,Kawasaki Frontale,€2.5M,ST
Wiliam Santinho,33,Brazil,71,Santos Futebol Clube,€1.2M,GK
L. Ruíz,21,Colombia,71,Boavista FC,€3.9M,ST
K. Lafferty,29,Northern Ireland,71,Heart of Midlothian,€2.4M,LM
André Leão,32,Portugal,71,FC Paços de Ferreira,€1.4M,CM
J. Guerrón,32,Ecuador,71,U.N.A.M.,€1.8M,ST
D. da Costa,23,Germany,71,Eintracht Frankfurt,€2.6M,RB
L. Jans,24,Luxembourg,71,Waasland-Beveren,€2.5M,RB
H. Hateboer,23,Netherlands,71,Atalanta,€2.6M,RB
P. Seguin,22,Germany,71,SG Dynamo Dresden,€3.2M,RB
Z. Yıldırım,26,Turkey,71,Antalyaspor,€2.5M,CDM
M. Yüce,32,Turkey,71,Bursaspor,€1.4M,CDM
E. Loeschbor,30,Argentina,71,Monarcas Morelia,€1.8M,CB
Thiago Cionek,31,Poland,71,Palermo,€1.6M,CB
A. Domínguez,30,Ecuador,71,Colon de Santa Fe,€1.5M,GK
Ju Se Jong,26,Korea Republic,71,FC Seoul,€2.8M,CDM
M. Rohdén,26,Sweden,71,Crotone,€2.5M,CM
K. Mbabu,22,Switzerland,71,BSC Young Boys,€3.5M,RB
T. Kessler,31,Germany,71,1. FC Köln,€1.4M,GK
M. Beevers,27,England,71,Bolton Wanderers,€2M,CB
R. Halliche,30,Algeria,71,Estoril Praia,€1.8M,CB
I. Bebou,23,Togo,71,Hannover 96,€3.2M,ST
C. Tainmont,31,France,71,Sporting Charleroi,€2.1M,LM
Z. Gano,23,Belgium,71,KV Oostende,€3.1M,ST
T. Mings,24,England,71,Bournemouth,€2.8M,CB
Rúben Fernandes,31,Portugal,71,Portimonense SC,€1.6M,CB
G. Carey,28,Republic of Ireland,71,Plymouth Argyle,€2.4M,CM
M. Turner,33,England,71,Southend United,€950K,CB
E. López,22,Mexico,71,Guadalajara,€3.2M,LM
E. Perozca,33,Chile,71,CD Antofagasta,€900K,LB
J. Rivas,32,Mexico,71,Tiburones Rojos de Veracruz,€1.4M,LB
João Amaral,25,Portugal,71,Vitória Setúbal,€2.8M,LM
A. Rosi,30,Italy,71,Genoa,€1.7M,RB
H. Ghaly,35,Egypt,71,Al Nassr,€1M,CDM
R. López,24,Mexico,71,Pachuca,€2.6M,RB
Edsinho Torres,33,Brazil,71,Cruzeiro,€900K,LB
Z. Sadaev,27,Russia,71,Terek Grozny,€2.8M,ST
F. Padrenda,33,Chile,71,CD Huachipato,€900K,LB
A. Hack,23,Germany,71,1. FSV Mainz 05,€3.2M,CB
G. Bergessio,32,Argentina,71,Vélez Sarsfield,€1.9M,ST
Marcelo Sarvas,35,Brazil,71,D.C. United,€550K,CDM
W. Trapp,24,United States,71,Columbus Crew SC,€2.5M,CM
J. Jernal,25,Chile,71,CD Universidad de Concepción,€2M,CM
J. Toivio,29,Finland,71,Molde FK,€1.8M,CB
S. Romagnoli,27,Italy,71,Empoli,€2.2M,CB
M. Doherty,25,Republic of Ireland,71,Wolverhampton Wanderers,€2.4M,LB
J. Stephens,23,England,71,Southampton,€3M,CB
João Teixeira,24,Portugal,71,SC Braga,€3.2M,CM
E. Herrera,28,Mexico,71,Rangers,€2.4M,ST
M. Hector,24,Jamaica,71,Hull City,€2.8M,CDM
A. Abdi,30,Switzerland,71,Sheffield Wednesday,€2.2M,CM
D. Lemos,28,Argentina,71,Club Atlético Patronato,€1.9M,CM
M. Silva,28,Uruguay,71,Real Salt Lake,€2.2M,CB
